Iteration,avg. pbest (circle),gbest so far (circle),avg. pbest (geographical),gbest so far (geographical)
0,714.890477798,291.660888299,729.837142489,387.976274081
10,116.893041842,24.4506123157,180.074352925,56.7832063217
20,48.5845509194,13.4814441451,51.7072441058,25.5808344671
30,30.3245124587,7.25862914701,29.2510664903,7.80321592423
40,24.207704875,7.25862914701,23.9966097373,7.80321592423
50,18.6004720629,6.30500055561,20.1675642392,6.04485551985
60,15.1377504975,6.30500055561,17.5761755891,6.04485551985
70,12.7487783541,4.87688583257,15.4136595046,5.58396387097
80,9.72497108072,4.39195502991,13.7292011158,5.58396387097
90,7.42473454611,2.24972233407,12.2798239977,5.33152316722
100,6.09240925079,2.12549331394,10.8571300343,3.03924978639
110,4.70689434887,1.29628799397,9.77298807349,3.03924978639
120,3.60065055035,0.781595497635,8.62261248989,3.03924978639
130,2.27942542688,0.553775591383,7.32083827466,2.15704481663
140,1.36069725859,0.243923083714,5.49800109567,0.489772446235
150,0.771920232272,0.126523689251,3.94145809782,0.489772446235
160,0.415213374794,0.0944273570157,1.95193682871,0.114336803429
170,0.189781576437,0.0374694930022,0.74518422352,0.0744021499089
180,0.0982407585504,0.0165650138068,0.326515050046,0.0536105477012
190,0.040372266358,0.00937200805238,0.14102639665,0.0326011446031
200,0.0160501478172,0.00235391693999,0.0506999848406,0.00749653297409
210,0.00616234668462,0.000716663655772,0.014250058792,0.00273379618526
220,0.00282852337406,0.000493803211015,0.00267147874063,0.00052682883392
230,0.00132131107046,0.000173421960267,0.000458735104979,0.000108338691676
240,0.000378068775963,4.39227289666e-05,9.22587123576e-05,1.95471244957e-05
250,0.000104871951541,1.34727483296e-05,2.90204432874e-05,3.18577556892e-06
260,3.67947586685e-05,3.35933686465e-06,1.50825962443e-05,8.88627165688e-07
270,8.0824142397e-06,1.29031275863e-06,1.25313468457e-05,2.72657377301e-07
280,1.67643592017e-06,4.46535291736e-07,1.14255119236e-05,9.79805676697e-08
290,4.93952915042e-07,1.25408321569e-07,1.11454559153e-05,5.93475545622e-08
300,1.21684691434e-07,2.17507056712e-08,1.04533126512e-05,3.7485431639e-08
